BGC Locus,BGC Definition,Start,End,Length,Product,Locus Tag,Note,Gene Functions,Description,Gene Ontologies,Gene Kind
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,3981,4836,855,,ctg65_8,,biosynthetic-additional (smcogs) SMCOG1089:methyltransferase (Score: 160.4; E-value: 9.4e-49),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,5011,6367,1356,,ctg65_9,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,6449,9842,3393,,ctg65_10,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,10502,12695,2193,,ctg65_11,,biosynthetic-additional (smcogs) SMCOG1216:exopolysaccharide biosynthesis domain protein (Score: 394.9; E-value: 9.5e-120),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,12710,13844,1134,,ctg65_12,,biosynthetic-additional (rule-based-clusters) DegT_DnrJ_EryC1;biosynthetic-additional (rule-based-clusters) Aminotran_1_2;biosynthetic-additional (smcogs) SMCOG1056:DegT/DnrJ/EryC1/StrS aminotransferase (Score: 311.5; E-value: 1.3e-94),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,13851,15390,1539,,ctg65_13,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,15412,16024,612,,ctg65_14,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,16036,17089,1053,,ctg65_15,,biosynthetic-additional (rule-based-clusters) fabH;biosynthetic-additional (smcogs) SMCOG1084:3-oxoacyl-(acyl carrier protein) synthase III (Score: 221.8; E-value: 2e-67),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,17085,18447,1362,,ctg65_16,,biosynthetic-additional (rule-based-clusters) AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 160.8; E-value: 7e-49),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,18443,19169,726,,ctg65_17,,biosynthetic-additional (smcogs) SMCOG1001:short-chain dehydrogenase/reductase SDR (Score: 164.2; E-value: 6.2e-50),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,19149,19473,324,,ctg65_18,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,19517,19772,255,,ctg65_19,,biosynthetic-additional (rule-based-clusters) PP-binding,,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,20001,24639,4638,,ctg65_20,,biosynthetic (rule-based-clusters) NRPS-like: A-OX;biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic-additional (smcogs) SMCOG1228:methionyl-tRNA formyltransferase (Score: 122.7; E-value: 2.6e-37),,,biosynthetic
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,24654,25311,657,,ctg65_21,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,25348,25849,501,,ctg65_22,,biosynthetic-additional (rule-based-clusters) Bac_transf;biosynthetic-additional (smcogs) SMCOG1146:sugar transferase (Score: 232.7; E-value: 1.5e-70),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,26151,26568,417,,ctg65_23,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,26664,27999,1335,,ctg65_24,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,28078,29221,1143,,ctg65_25,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 128.9; E-value: 4.5e-39),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,29246,30437,1191,,ctg65_26,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 83.1; E-value: 3.7e-25),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,30453,31605,1152,,ctg65_27,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 180.5; E-value: 9.9e-55),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,31611,33177,1566,,ctg65_28,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,33136,34345,1209,,ctg65_29,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 121.5; E-value: 8.3e-37),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,34304,35603,1299,,ctg65_30,,biosynthetic-additional (rule-based-clusters) Polysacc_synt,,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,35612,36593,981,,ctg65_31,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,36621,38661,2040,,ctg65_32,,biosynthetic-additional (rule-based-clusters) RmlD_sub_bind;biosynthetic-additional (rule-based-clusters) Polysacc_synt_2;biosynthetic-additional (smcogs) SMCOG1010:NAD-dependent epimerase/dehydratase (Score: 121.1; E-value: 1e-36),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,39185,39704,519,,ctg65_33,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,40003,40336,333,,ctg65_34,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,40352,41270,918,,ctg65_35,,biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1262:haloalkane dehalogenase (Score: 110.6; E-value: 1.3e-33),,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,41806,42340,534,,ctg65_36,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,42531,43704,1173,,ctg65_37,,biosynthetic-additional (rule-based-clusters) ATP-grasp;biosynthetic-additional (rule-based-clusters) Dala_Dala_lig_C;biosynthetic-additional (rule-based-clusters) ATP-grasp_3,,,biosynthetic-additional
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,43975,44104,129,,ctg65_38,,,,,
samp_4441_maxbin_669_contig_134_NRPS-like,samp_4441_maxbin_669_contig_134_NRPS-like,44138,44252,114,,ctg65_39,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,1,535,534,,ctg66_1,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,708,2037,1329,,ctg66_2,,biosynthetic-additional (rule-based-clusters) NTP_transf_5,,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,2008,3430,1422,,ctg66_3,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,3488,4571,1083,,ctg66_4,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1,,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,4613,5321,708,,ctg66_5,,biosynthetic-additional (rule-based-clusters) Glycos_transf_2,,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,5440,6223,783,,ctg66_6,,biosynthetic-additional (rule-based-clusters) RmlD_sub_bind;biosynthetic-additional (rule-based-clusters) Polysacc_synt_2;biosynthetic-additional (rule-based-clusters) NAD_binding_4;biosynthetic-additional (smcogs) SMCOG1010:NAD-dependent epimerase/dehydratase (Score: 108.4; E-value: 7.6e-33),,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,6182,6875,693,,ctg66_7,,biosynthetic-additional (rule-based-clusters) Glycos_transf_2,,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,6953,7649,696,,ctg66_8,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,7710,8805,1095,,ctg66_9,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,8835,9882,1047,,ctg66_10,,biosynthetic-additional (rule-based-clusters) NTP_transf_5,,,biosynthetic-additional
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,10001,10451,450,,ctg66_11,,biosynthetic (rule-based-clusters) RRE-containing: Stand_Alone_Lasso_RRE;biosynthetic-additional (rule-based-clusters) PF05402,,,biosynthetic
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,10621,10951,330,,ctg66_12,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,11042,12149,1107,,ctg66_13,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,12441,12999,558,,ctg66_14,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,13143,13653,510,,ctg66_15,,,,,
samp_4441_maxbin_669_contig_191_RRE-containing,samp_4441_maxbin_669_contig_191_RRE-containing,13987,14104,117,,ctg66_16,,,,,
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,2,86,84,,ctg67_1,,,,,
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,525,1809,1284,,ctg67_2,,biosynthetic-additional (rule-based-clusters) Aminotran_1_2,,,biosynthetic-additional
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,2193,3120,927,,ctg67_3,,biosynthetic (rule-based-clusters) terpene: phytoene_synt,,,biosynthetic
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,3126,4515,1389,,ctg67_4,,,,,
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,4617,4857,240,,ctg67_5,,,,,
samp_4445_semibin_342_contig_154_terpene,samp_4445_semibin_342_contig_154_terpene,4926,5589,663,,ctg67_6,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,50,743,693,,ctg68_1,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,829,1186,357,,ctg68_2,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,1644,1794,150,,ctg68_3,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,1821,2730,909,,ctg68_4,,biosynthetic-additional (rule-based-clusters) ThiF;biosynthetic-additional (smcogs) SMCOG1163:rhodanese domain-containing protein (Score: 56.6; E-value: 3.7e-17),,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,2802,3942,1140,,ctg68_5,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,3994,4777,783,,ctg68_6,,biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1262:haloalkane dehalogenase (Score: 210.4; E-value: 5.2e-64),,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,4937,6005,1068,,ctg68_7,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,6018,6273,255,,ctg68_8,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,6285,8037,1752,,ctg68_9,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,8214,9720,1506,,ctg68_10,,biosynthetic-additional (rule-based-clusters) Glycos_transf_2,,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,9747,10971,1224,,ctg68_11,,biosynthetic (rule-based-clusters) terpene: Lycopene_cycl,,,biosynthetic
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,11106,13503,2397,,ctg68_12,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,13515,13785,270,,ctg68_13,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,13888,14458,570,,ctg68_14,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,14474,14984,510,,ctg68_15,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,15079,15973,894,,ctg68_16,,biosynthetic-additional (rule-based-clusters) Abhydrolase_6,,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,16160,16670,510,,ctg68_17,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,16676,17009,333,,ctg68_18,,,,,
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,17078,18401,1323,,ctg68_19,,biosynthetic-additional (rule-based-clusters) Peptidase_M16;biosynthetic-additional (rule-based-clusters) Peptidase_M16_C,,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,18426,19296,870,,ctg68_20,,biosynthetic-additional (rule-based-clusters) APH,,,biosynthetic-additional
samp_4445_semibin_342_contig_168_terpene,samp_4445_semibin_342_contig_168_terpene,19326,20970,1644,,ctg68_21,,biosynthetic-additional (rule-based-clusters) Pkinase;regulatory (smcogs) SMCOG1030:serine/threonine protein kinase (Score: 128.8; E-value: 4.6e-39),,,regulatory
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,113,1058,945,,ctg69_1,,,,,
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,1041,7455,6414,,ctg69_2,,biosynthetic (rule-based-clusters) T1PKS: hyb_KS;biosynthetic (rule-based-clusters) T1PKS: PKS_AT;biosynthetic-additional (rule-based-clusters) adh_short;biosynthetic-additional (rule-based-clusters) PP-binding;biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (smcogs) SMCOG1001:short-chain dehydrogenase/reductase SDR (Score: 75.1; E-value: 1e-22),,,biosynthetic
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,7466,9812,2346,,ctg69_3,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 366.4; E-value: 3.3e-111),,,biosynthetic
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,10461,11439,978,,ctg69_4,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 171; E-value: 5.6e-52),,,transport
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,11459,12944,1485,,ctg69_5,,,,,
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,13078,13501,423,,ctg69_6,,,,,
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,13712,14459,747,,ctg69_7,,,,,
samp_4445_semibin_342_contig_369_T1PKS,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like,14829,16101,1272,,ctg69_8,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,0,753,753,,ctg70_1,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,756,1683,927,,ctg70_2,,biosynthetic (rule-based-clusters) terpene: phytoene_synt,,,biosynthetic
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,1744,2158,414,,ctg70_3,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,2174,3623,1449,,ctg70_4,,biosynthetic-additional (smcogs) SMCOG1042:O-methyltransferase (Score: 315.4; E-value: 7.6e-96),,,biosynthetic-additional
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,3619,4834,1215,,ctg70_5,,"biosynthetic-additional (rule-based-clusters) Glyco_transf_28;biosynthetic-additional (smcogs) SMCOG1062:glycosyltransferase, MGT family (Score: 138.8; E-value: 4.6e-42)",,,biosynthetic-additional
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,4915,5719,804,,ctg70_6,,biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1262:haloalkane dehalogenase (Score: 70.6; E-value: 2.1e-21),,,biosynthetic-additional
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,6279,6708,429,,ctg70_7,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,6769,8161,1392,,ctg70_8,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,8401,9076,675,,ctg70_9,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,9075,9960,885,,ctg70_10,,,,,
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,9844,10642,798,,ctg70_11,,biosynthetic-additional (smcogs) SMCOG1141:acyltransferase (Score: 147; E-value: 8.6e-45),,,biosynthetic-additional
samp_4443_metabat2_120_contig_75_terpene,samp_4443_metabat2_120_contig_75_terpene,10638,11538,900,,ctg70_12,,biosynthetic-additional (rule-based-clusters) PKS_AT;biosynthetic-additional (smcogs) SMCOG1021:malonyl CoA-acyl carrier protein transacylase (Score: 265.7; E-value: 1.6e-80),,,biosynthetic-additional
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,257,1220,963,,ctg71_1,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,1632,3519,1887,,ctg71_2,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1,,,biosynthetic-additional
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,3560,4109,549,,ctg71_3,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,4136,4802,666,,ctg71_4,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,4788,5391,603,,ctg71_5,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,5430,7056,1626,,ctg71_6,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,7127,7898,771,,ctg71_7,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,7914,9315,1401,,ctg71_8,,biosynthetic (rule-based-clusters) terpene: Lycopene_cycl,,,biosynthetic
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,9503,9803,300,,ctg71_9,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,10149,11364,1215,,ctg71_10,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 74.8; E-value: 1.3e-22),,,biosynthetic-additional
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,11736,12423,687,,ctg71_11,,,,,
samp_4443_metabat2_120_contig_110_terpene,samp_4443_metabat2_120_contig_110_terpene,12720,14322,1602,,ctg71_12,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,1,1285,1284,,ctg72_1,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,1381,2191,810,,ctg72_2,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,2343,3321,978,,ctg72_3,,regulatory (smcogs) SMCOG1014:LysR family transcriptional regulator (Score: 194.7; E-value: 3.4e-59),,,regulatory
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,3385,4315,930,,ctg72_4,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,4311,4659,348,,ctg72_5,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,4977,6390,1413,,ctg72_6,,biosynthetic-additional (smcogs) SMCOG1222:dehydrogenase (Score: 42.2; E-value: 9.5e-13),,,biosynthetic-additional
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,6395,7331,936,,ctg72_7,,biosynthetic (rule-based-clusters) terpene: phytoene_synt,,,biosynthetic
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,7343,8378,1035,,ctg72_8,,biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1036:alpha/beta hydrolase fold protein (Score: 81.1; E-value: 1.8e-24),,,biosynthetic-additional
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,8456,8885,429,,ctg72_9,,,,,
samp_4443_semibin_400_contig_169_terpene,samp_4443_semibin_400_contig_169_terpene,9128,9347,219,,ctg72_10,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,1,304,303,,ctg73_1,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,300,1581,1281,,ctg73_2,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,1686,2379,693,,ctg73_3,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,2388,2874,486,,ctg73_4,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,2870,3296,426,,ctg73_5,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,3328,3970,642,,ctg73_6,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,4371,6270,1899,,ctg73_7,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,6900,7512,612,,ctg73_8,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,7577,8561,984,,ctg73_9,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 166.5; E-value: 1.3e-50),,,transport
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,8633,8870,237,,ctg73_10,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,9248,10685,1437,,ctg73_11,,biosynthetic-additional (rule-based-clusters) Poly_export;transport (smcogs) SMCOG1186:polysaccharide export protein (Score: 209; E-value: 1.4e-63),,,transport
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,11312,12143,831,,ctg73_12,,biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1262:haloalkane dehalogenase (Score: 107.5; E-value: 1.2e-32),,,biosynthetic-additional
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,12575,14036,1461,,ctg73_13,,biosynthetic-additional (smcogs) SMCOG1105:amidase (Score: 559.5; E-value: 1e-169),,,biosynthetic-additional
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,14278,15256,978,,ctg73_14,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,15324,15570,246,,ctg73_15,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,15601,16963,1362,,ctg73_16,,other (smcogs) SMCOG1194:DNA polymerase III subunit alpha (Score: 296.1; E-value: 9.3e-90),,,other
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,17982,19653,1671,,ctg73_17,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,20001,22740,2739,,ctg73_18,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 311.3; E-value: 1.6e-94),,,biosynthetic
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,23540,24212,672,,ctg73_19,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,24474,25230,756,,ctg73_20,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,25462,26227,765,,ctg73_21,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,26228,26726,498,,ctg73_22,,,,,
samp_4434_VAMB_405_contig_1043_NRPS-like,samp_4434_VAMB_405_contig_1043_NRPS-like,26717,27698,981,,ctg73_23,,biosynthetic-additional (smcogs) SMCOG1276:PfkB domain protein (Score: 194.6; E-value: 4e-59),,,biosynthetic-additional
